City,Year,NO2,Latitude,Longitude
Phoenix,2000,68764,33.448377,-112.07404
Phoenix,2001,69844,33.448377,-112.07404
Phoenix,2002,69280,33.448377,-112.07404
Phoenix,2003,60140,33.448377,-112.07404
Phoenix,2004,59058,33.448377,-112.07404
Phoenix,2005,150892,33.448377,-112.07404
Phoenix,2006,154472,33.448377,-112.07404
Phoenix,2007,114520,33.448377,-112.07404
Phoenix,2008,108998,33.448377,-112.07404
Phoenix,2009,106628,33.448377,-112.07404
Phoenix,2010,94788,33.448377,-112.07404
Los Angeles,2000,73912,34.052234,Ê-118.24368
Los Angeles,2001,146296,34.052234,Ê-118.24368
Los Angeles,2002,99842,34.052234,Ê-118.24368
Los Angeles,2003,71616,34.052234,Ê-118.24368
Los Angeles,2004,92953,34.052234,Ê-118.24368
Los Angeles,2005,103036,34.052234,Ê-118.24368
Los Angeles,2006,106292,34.052234,Ê-118.24368
Los Angeles,2007,99980,34.052234,Ê-118.24368
Los Angeles,2008,97504,34.052234,Ê-118.24368
Los Angeles,2009,95250,34.052234,Ê-118.24368
Los Angeles,2010,89244,34.052234,Ê-118.24368
New York,2000,95986,40.712784,-74.005941
New York,2001,134062,40.712784,-74.005941
New York,2002,111500,40.712784,-74.005941
New York,2003,108844,40.712784,-74.005941
New York,2004,106894,40.712784,-74.005941
New York,2005,104026,40.712784,-74.005941
New York,2006,108630,40.712784,-74.005941
New York,2007,148268,40.712784,-74.005941
New York,2008,116240,40.712784,-74.005941
New York,2009,94760,40.712784,-74.005941
New York,2010,95760,40.712784,-74.005941
San Diego,2000,107668,32.715738,-117.16108
San Diego,2001,95908,32.715738,-117.16108
San Diego,2002,107368,32.715738,-117.16108
San Diego,2003,104028,32.715738,-117.16108
San Diego,2004,103964,32.715738,-117.16108
San Diego,2005,102102,32.715738,-117.16108
San Diego,2006,105758,32.715738,-117.16108
San Diego,2007,92226,32.715738,-117.16108
San Diego,2008,97424,32.715738,-117.16108
San Diego,2009,95692,32.715738,-117.16108
San Diego,2010,40514,32.715738,-117.16108
El Paso,2000,56538,31.761878,-106.48502
El Paso,2001,75204,31.761878,-106.48502
El Paso,2002,81346,31.761878,-106.48502
El Paso,2003,86030,31.761878,-106.48502
El Paso,2004,80404,31.761878,-106.48502
El Paso,2005,83516,31.761878,-106.48502
El Paso,2006,74800,31.761878,-106.48502
El Paso,2007,72192,31.761878,-106.48502
El Paso,2008,46252,31.761878,-106.48502
El Paso,2009,40252,31.761878,-106.48502
El Paso,2010,60784,31.761878,-106.48502
Long Beach,2000,71784,33.77005,-118.19374
Long Beach,2001,70236,33.77005,-118.19374
Long Beach,2002,64424,33.77005,-118.19374
Long Beach,2003,59972,33.77005,-118.19374
Long Beach,2004,60184,33.77005,-118.19374
Long Beach,2005,53660,33.77005,-118.19374
Long Beach,2006,49128,33.77005,-118.19374
Long Beach,2007,48808,33.77005,-118.19374
Long Beach,2008,51148,33.77005,-118.19374
Long Beach,2009,43788,33.77005,-118.19374
Long Beach,2010,95740,33.77005,-118.19374
Victorville,2000,59220,34.536218,-117.29276
Victorville,2001,59494,34.536218,-117.29276
Victorville,2002,61176,34.536218,-117.29276
Victorville,2003,58000,34.536218,-117.29276
Victorville,2004,57808,34.536218,-117.29276
Victorville,2005,53700,34.536218,-117.29276
Victorville,2006,55304,34.536218,-117.29276
Victorville,2007,51852,34.536218,-117.29276
Victorville,2008,48996,34.536218,-117.29276
Victorville,2009,46356,34.536218,-117.29276
Victorville,2010,43760,34.536218,-117.29276
Washington,2000,54304,38.907192,-77.036871
Washington,2001,54352,38.907192,-77.036871
Washington,2002,58108,38.907192,-77.036871
Washington,2003,52148,38.907192,-77.036871
Washington,2004,49420,38.907192,-77.036871
Washington,2005,49836,38.907192,-77.036871
Washington,2006,43228,38.907192,-77.036871
Washington,2007,39272,38.907192,-77.036871
Washington,2008,46408,38.907192,-77.036871
Washington,2009,45440,38.907192,-77.036871
Washington,2010,45128,38.907192,-77.036871
